O000,2020-05-06,281.22,C000,F000:2:199.62,F001:4:81.6
O001,2021-05-06,410.92,C000,F000:2:199.62,F001:4:81.6,F002:5:79.0,F003:1:50.7
O002,2022-05-06,186.71000000000004,C001,F000:1:99.81,F001:1:20.4,F002:1:15.8,F003:1:50.7
O003,2023-05-06,375.01,C002,F000:1:99.81,F001:2:40.8,F002:2:31.6,F003:4:202.8
O004,2023-05-06,319.83000000000004,C001,F000:3:299.43,F001:1:20.4
O005,2023-05-25,319.83,C001,F000:3:299.43,F001:1:20.4
O006,2023-05-28,630.46,C001,F000:6:598.86,F002:2:31.6
O007,2023-05-31,240.42000000000002,C001,F000:2:199.62,F001:2:40.8
O008,2023-05-31,346.83000000000004,C001,F000:3:299.43,F002:3:47.400000000000006
O009,2023-05-31,40.8,C001,F001:2:40.8
